Lyric,Song,Track Number,Album,Sad ,Mad,Scared,Peaceful,Powerful,Joyful
"You lose your way, just take my hand",Mariners Apartment Complex,2,NFR!,0,0,0,0,1,0
"You're lost at sea, then I'll command your boat to me again",Mariners Apartment Complex,2,NFR!,0,0,0,0,1,0
"Don't look too far, right where you are, that's where I am",Mariners Apartment Complex,2,NFR!,0,0,0,0,1,0
I'm your man,Mariners Apartment Complex,2,NFR!,0,0,0,0,1,0
I'm your man,Mariners Apartment Complex,2,NFR!,0,0,0,0,1,0
They mistook my kindness for weakness,Mariners Apartment Complex,2,NFR!,0,1,0,0,0,0
"I fucked up, I know that, but, Jesus",Mariners Apartment Complex,2,NFR!,0,0,1,0,0,0
Can't a girl just do the best she can?,Mariners Apartment Complex,2,NFR!,0,0,1,0,0,0
Catch a wave and take in the sweetness,Mariners Apartment Complex,2,NFR!,0,0,0,0,0,1
"Think about it, the darkness, the deepness",Mariners Apartment Complex,2,NFR!,0,0,1,0,0,0
All the things that make me who I am,Mariners Apartment Complex,2,NFR!,0,0,0,0,1,0
And who I am is a big-time believer,Mariners Apartment Complex,2,NFR!,0,0,0,0,1,0
"That people can change, but you don't have to leave her",Mariners Apartment Complex,2,NFR!,0,0,0,0,1,0
"When everyone's talking, you can make a stand",Mariners Apartment Complex,2,NFR!,0,0,0,0,1,0
"'Cause even in the dark, I feel your resistance",Mariners Apartment Complex,2,NFR!,0,0,0,0,1,0
You can see my heart burning in the distance,Mariners Apartment Complex,2,NFR!,1,0,0,0,0,0
"Baby, baby, baby, I'm your man (yeah)",Mariners Apartment Complex,2,NFR!,0,0,0,0,1,0
"You lose your way, just take my hand",Mariners Apartment Complex,2,NFR!,0,0,0,0,1,0
"You're lost at sea, then I'll command your boat to me again",Mariners Apartment Complex,2,NFR!,0,0,0,0,1,0
"Don't look too far, right where you are, that's where I am",Mariners Apartment Complex,2,NFR!,0,0,0,0,1,0
I'm your man,Mariners Apartment Complex,2,NFR!,0,0,0,0,1,0
I'm your man,Mariners Apartment Complex,2,NFR!,0,0,0,0,1,0
"Fear fun, fear love, fresh out of fucks forever",Venice Bitch,3,NFR!,0,0,1,0,0,0
Tryin' to be stronger for you,Venice Bitch,3,NFR!,0,0,0,0,1,0
"Ice cream, ice queen, I dream in jeans and leather",Venice Bitch,3,NFR!,0,0,0,0,0,1
"Live stream, I'm sweet for you",Venice Bitch,3,NFR!,0,0,0,0,0,1
"Oh God, miss you on my lips",Venice Bitch,3,NFR!,1,0,0,0,0,0
It's me your little Venice bitch,Venice Bitch,3,NFR!,0,0,0,1,0,0
On the stoop with the neighborhood kids,Venice Bitch,3,NFR!,0,0,0,0,0,0
"Callin' out, bang bang, kiss kiss",Venice Bitch,3,NFR!,0,0,0,0,0,1
"You're in the yard, I light the fire",Venice Bitch,3,NFR!,0,0,0,1,0,0
And as the summer fades away,Venice Bitch,3,NFR!,1,0,0,0,0,0
Nothing gold can stay,Venice Bitch,3,NFR!,0,0,0,1,0,0
"You write, I tour, we make it work",Venice Bitch,3,NFR!,0,0,0,1,0,0
You're beautiful and I'm insane,Venice Bitch,3,NFR!,0,1,0,0,0,0
We're American-made,Venice Bitch,3,NFR!,0,0,0,1,0,0
Give me Hallmark,Venice Bitch,3,NFR!,0,0,0,0,0,1
"One dream, one life, one lover",Venice Bitch,3,NFR!,0,0,0,0,0,1
Paint me happy in blue,Venice Bitch,3,NFR!,0,0,0,0,0,1
"Norman Rockwell, no hype under our covers",Venice Bitch,3,NFR!,0,0,0,0,0,1
It's just me and you,Venice Bitch,3,NFR!,0,0,0,0,0,1
"Oh God, miss you on my lips",Venice Bitch,3,NFR!,1,0,0,0,0,0
It's me your little Venice bitch,Venice Bitch,3,NFR!,1,0,0,0,0,0
On the stoop with the neighborhood kids,Venice Bitch,3,NFR!,0,0,0,1,0,0
"Callin' out, bang bang, kiss kiss",Venice Bitch,3,NFR!,0,0,0,0,0,1
"You're in the yard, I light the fire",Venice Bitch,3,NFR!,0,0,0,0,0,1
And as the summer fades away,Venice Bitch,3,NFR!,1,0,0,0,0,0
Nothing gold can stay,Venice Bitch,3,NFR!,0,0,0,1,0,0
"You write, I tour, we make it work",Venice Bitch,3,NFR!,0,0,0,0,0,1
You're beautiful and I'm insane,Venice Bitch,3,NFR!,0,1,0,0,0,0
We're American-made,Venice Bitch,3,NFR!,0,0,0,0,0,1
"Oh (yeah), oh (yeah), oh (yeah)",Venice Bitch,3,NFR!,0,0,0,0,0,0
"Soundin' off, bang bang, kiss kiss",Venice Bitch,3,NFR!,0,0,0,0,0,1
"Oh (yeah), oh (yeah), oh (yeah)",Venice Bitch,3,NFR!,0,0,0,0,0,0
"Soundin' off, bang bang, kiss kiss",Venice Bitch,3,NFR!,0,0,0,0,0,1
"Oh God, want you on my lips",Venice Bitch,3,NFR!,0,0,0,0,0,1
It's me your little Venice bitch,Venice Bitch,3,NFR!,1,0,0,0,0,0
On the stoop with the neighborhood kids,Venice Bitch,3,NFR!,0,0,0,1,0,0
"Soundin' out, bang bang, kiss kiss",Venice Bitch,3,NFR!,0,0,0,0,0,1
"Oh, shatter oh, shatter, oh, shatter",Venice Bitch,3,NFR!,0,0,0,0,0,0
"(Soundin' off, bang bang, kiss kiss)",Venice Bitch,3,NFR!,0,0,0,0,0,1
"Yeah (yeah), oh (yeah), oh (yeah)",Venice Bitch,3,NFR!,0,0,0,0,0,0
"(Soundin' off, bang bang, kiss kiss)",Venice Bitch,3,NFR!,0,0,0,0,0,1
(Yeah),Venice Bitch,3,NFR!,0,0,0,0,0,0
You heard my baby's back in town now,Venice Bitch,3,NFR!,0,0,0,0,0,1
"You should come, come over",Venice Bitch,3,NFR!,0,0,0,0,0,1
We'll be hanging around now,Venice Bitch,3,NFR!,0,0,0,0,0,1
"You should come, come over",Venice Bitch,3,NFR!,0,0,0,0,0,1
"Oh God, I love him on my lips",Venice Bitch,3,NFR!,0,0,0,0,0,1
It's me your little Venice bitch,Venice Bitch,3,NFR!,1,0,0,0,0,0
Touch me with your fingertips,Venice Bitch,3,NFR!,0,0,0,0,0,1
It's me your little Venice bitch,Venice Bitch,3,NFR!,1,0,0,0,0,0
"Back, back in the garden",Venice Bitch,3,NFR!,0,0,0,0,0,0
We're getting high now because we're older,Venice Bitch,3,NFR!,0,0,1,0,0,0
"Me myself, I like diamonds",Venice Bitch,3,NFR!,0,0,0,0,0,1
My baby crimson and clover,Venice Bitch,3,NFR!,0,0,0,1,0,0
"Wha-wha-wha-wha-whatever, everything, whatever",Venice Bitch,3,NFR!,0,0,0,0,0,0
"(Wha-wha-wha-wha-whatever, everything, whatever)",Venice Bitch,3,NFR!,0,0,0,0,0,0
"Ah, ah, ah, ah",Venice Bitch,3,NFR!,0,0,0,0,0,0
"Ah yeah, ah yeah",Venice Bitch,3,NFR!,0,0,0,0,0,0
"(La-la-la-la-la-la, losers, beautiful losers)",Venice Bitch,3,NFR!,0,0,0,0,0,0
"(La-la-la-la-la-la, losers, beautiful losers)",Venice Bitch,3,NFR!,0,0,0,0,0,0
"La-la-la-la-la-la, losers, (yeah) beautiful losers (yeah)",Venice Bitch,3,NFR!,0,0,0,0,0,0
"La-la-la-la-la-la, losers, (yeah) beautiful losers (yeah)",Venice Bitch,3,NFR!,0,0,0,0,0,0
"La-la-la-la-la-la, losers, beautiful losers",Venice Bitch,3,NFR!,0,0,0,0,0,0
Back in the garden,Venice Bitch,3,NFR!,0,0,0,0,0,0
We're getting high now because we're older,Venice Bitch,3,NFR!,1,0,0,0,0,0
"Me myself, I like diamonds",Venice Bitch,3,NFR!,0,0,0,0,0,1
My baby crimson and clover,Venice Bitch,3,NFR!,0,0,0,1,0,0
"Crimson and clover, honey",Venice Bitch,3,NFR!,0,0,0,0,0,0
"Crimson and clover, honey",Venice Bitch,3,NFR!,0,0,0,0,0,0
"Crimson and clover, honey",Venice Bitch,3,NFR!,0,0,0,0,0,0
"Crimson and clover, honey",Venice Bitch,3,NFR!,0,0,0,0,0,0
"Crimson and clover, honey",Venice Bitch,3,NFR!,0,0,0,0,0,0
"Crimson and clover, honey",Venice Bitch,3,NFR!,0,0,0,0,0,0
"Over and over, honey",Venice Bitch,3,NFR!,0,0,0,0,0,0
"Over and over, honey",Venice Bitch,3,NFR!,0,0,0,0,0,0
"Over and over, honey",Venice Bitch,3,NFR!,0,0,0,0,0,0
"Over and over, honey",Venice Bitch,3,NFR!,0,0,0,0,0,0
Over and over,Venice Bitch,3,NFR!,0,0,0,0,0,0
"If you weren't mine, I'd be jealous of your love",Venice Bitch,3,NFR!,1,0,0,0,0,0
"If you weren't mine, I'd be jealous of your love",Venice Bitch,3,NFR!,1,0,0,0,0,0
"If you weren't mine, I'd be jealous of your love",Venice Bitch,3,NFR!,1,0,0,0,0,0
"If you weren't mine, I'd be jealous of your love",Venice Bitch,3,NFR!,1,0,0,0,0,0
"If you weren't mine, I'd be jealous of your love",Venice Bitch,3,NFR!,1,0,0,0,0,0
I like to see everything in neon,Fuck It I Love You,4,NFR!,0,0,0,0,0,1
"Drink lime green, stay up 'til dawn",Fuck It I Love You,4,NFR!,0,0,0,0,0,1
Maybe the way that I'm living is killing me,Fuck It I Love You,4,NFR!,0,0,0,0,0,1
I like to light up the stage with a song,Fuck It I Love You,4,NFR!,0,0,0,0,0,1
Do shit to keep me turned on,Fuck It I Love You,4,NFR!,0,0,0,0,0,1
But one day I woke up like,Fuck It I Love You,4,NFR!,0,0,0,1,0,0
"""Maybe I'll do it differently""",Fuck It I Love You,4,NFR!,0,0,0,1,0,0
So I moved to California but it's just a state of mind,Fuck It I Love You,4,NFR!,0,0,0,1,0,0
"It turns out everywhere you go, you take yourself, that's not a lie",Fuck It I Love You,4,NFR!,1,0,0,0,0,0
Wish that you would hold me or just say that you were mine,Fuck It I Love You,4,NFR!,1,0,0,0,0,0
It's killing me slowly,Fuck It I Love You,4,NFR!,0,0,1,0,0,0
Dream a little dream of me,Fuck It I Love You,4,NFR!,0,0,0,1,0,0
Make me into something sweet,Fuck It I Love You,4,NFR!,0,0,0,1,0,0
"Turn the radio on, dancing to a pop song",Fuck It I Love You,4,NFR!,0,0,0,0,0,1
"Fuck it, I love you",Fuck It I Love You,4,NFR!,0,0,0,0,0,1
"Fuck it, I love you",Fuck It I Love You,4,NFR!,0,0,0,0,0,1
"Fuck it, I love you",Fuck It I Love You,4,NFR!,0,0,0,0,0,1
I really do,Fuck It I Love You,4,NFR!,0,0,0,0,0,0
I used to shoot up my veins in neon,Fuck It I Love You,4,NFR!,0,0,1,0,0,0
"And shit's even brighter, you're gone",Fuck It I Love You,4,NFR!,1,0,0,0,0,0
So many things I would say to you,Fuck It I Love You,4,NFR!,1,0,0,0,0,0
I want you,Fuck It I Love You,4,NFR!,1,0,0,0,0,0
"You moved to California, but it's just a state of mind",Fuck It I Love You,4,NFR!,1,0,0,0,0,0
And you know everyone adores you,Fuck It I Love You,4,NFR!,0,0,0,0,0,1
You can't feel it and you're tired,Fuck It I Love You,4,NFR!,1,0,0,0,0,0
Baby wish that you would hold me or just say that you were mine,Fuck It I Love You,4,NFR!,0,0,0,0,0,1
But it's killing me slowly,Fuck It I Love You,4,NFR!,1,0,0,0,0,0
Dream a little dream of me,Fuck It I Love You,4,NFR!,0,0,0,1,0,0
Turn this into something sweet,Fuck It I Love You,4,NFR!,0,0,0,0,0,1
"Turn the radio on, dancing to a pop song",Fuck It I Love You,4,NFR!,0,0,0,0,0,1
"Fuck it, I love you",Fuck It I Love You,4,NFR!,0,0,0,0,0,1
"Fuck it, I love you",Fuck It I Love You,4,NFR!,0,0,0,0,0,1
"Fuck it, I love you",Fuck It I Love You,4,NFR!,0,0,0,0,0,1
I really do,Fuck It I Love You,4,NFR!,0,0,0,0,0,0
It turns out California's more than just a state of mind,Fuck It I Love You,4,NFR!,0,0,0,1,0,0
"I met you on the boulevard, wind through my hair, you blew my mind",Fuck It I Love You,4,NFR!,0,0,0,0,0,1
"And if I wasn't so fucked up, I think I'd fuck you all the time",Fuck It I Love You,4,NFR!,1,0,0,0,0,1
(I really do) It's killing me slowly,Fuck It I Love You,4,NFR!,1,0,0,0,0,0
"Fuck it, I love you (I moved to California, but it's just a state of mind)",Fuck It I Love You,4,NFR!,0,0,0,1,0,1
"Fuck it, I love you (It turns out everywhere you go, you take yourself, that's not a lie)",Fuck It I Love You,4,NFR!,1,0,0,0,0,1
"Fuck it, I love you (Wish that you would hold me or just say that you were mine)",Fuck It I Love You,4,NFR!,1,0,0,0,0,1
I really do (It's killing me slowly),Fuck It I Love You,4,NFR!,1,0,0,0,0,0
"Fuck it, I love you (California dreamin', got my money on my mind)",Fuck It I Love You,4,NFR!,0,0,0,1,0,1
"Fuck it, I love you (Chances in my veins, running out of time)",Fuck It I Love You,4,NFR!,0,0,1,0,0,1
"Fuck it, I love you (California dreamin', got my money on my mind)",Fuck It I Love You,4,NFR!,0,0,0,1,0,1
"I really do (Chances in my veins, running out of time)",Fuck It I Love You,4,NFR!,0,0,1,0,0,1
"Fuck it, I love you (California dreamin', got my money on my mind)",Fuck It I Love You,4,NFR!,0,0,0,1,0,1
"Fuck it, I love you (Chances in my veins, running out of time)",Fuck It I Love You,4,NFR!,0,0,1,0,0,1
"Fuck it, I love you (California dreamin', got my money on my mind)",Fuck It I Love You,4,NFR!,0,0,0,1,0,1
"I really do (Chances in my veins, running out of time)",Fuck It I Love You,4,NFR!,0,0,1,0,0,1
"Summertime, and the livin's easy",Doin Time,5,NFR!,0,0,0,1,0,0
Bradley's on the microphone with Ras MG,Doin Time,5,NFR!,0,0,0,0,0,0
All the people in the dance will agree,Doin Time,5,NFR!,0,0,0,1,0,0
That we're well-qualified to represent the L.B.C,Doin Time,5,NFR!,0,0,0,1,0,0
"Me, me and Louie, we gonna run to the party",Doin Time,5,NFR!,0,0,0,0,1,0
"And dance to the rhythm, it gets harder",Doin Time,5,NFR!,0,0,0,0,0,1
"Me and my girl, we got this relationship",Doin Time,5,NFR!,0,0,0,0,0,1
"I love her so bad, but she treats me like shit",Doin Time,5,NFR!,1,0,0,0,0,1
"On lockdown, like a penitentiary",Doin Time,5,NFR!,0,0,1,0,0,0
She spreads her lovin' all over,Doin Time,5,NFR!,0,0,0,0,0,1
"And when she gets home, there's none left for me",Doin Time,5,NFR!,1,0,0,0,0,0
"Summertime, and the livin's easy",Doin Time,5,NFR!,0,0,0,1,0,0
Bradley's on the microphone with Ras MG,Doin Time,5,NFR!,0,0,0,0,0,0
All the people in the dance will agree,Doin Time,5,NFR!,0,0,0,1,0,0
That we're well-qualified to represent the L.B.C,Doin Time,5,NFR!,0,0,0,1,0,0
"Me, me and Louie, we gonna run to the party",Doin Time,5,NFR!,0,0,0,0,1,0
"And dance to the rhythm, it gets harder",Doin Time,5,NFR!,0,0,0,0,0,1
"(Harder, yeah, harder, yeah)",Doin Time,5,NFR!,0,0,0,0,0,0
"Oh, take this veil from off my eyes",Doin Time,5,NFR!,0,1,0,0,0,0
"My burning sun will, some day, rise",Doin Time,5,NFR!,0,0,0,0,0,1
"So, what am I gonna be doin' for a while?",Doin Time,5,NFR!,0,0,1,0,0,0
"Said, I'm gonna play with myself",Doin Time,5,NFR!,0,0,0,0,0,1
"Show them, now, we've come off the shelf",Doin Time,5,NFR!,0,0,0,0,0,0
"Summertime, and the livin's easy",Doin Time,5,NFR!,0,0,0,1,0,0
Bradley's on the microphone with Ras MG,Doin Time,5,NFR!,0,0,0,0,0,0
All the people in the dance will agree,Doin Time,5,NFR!,0,0,0,1,0,0
That we're well-qualified to represent the L.B.C,Doin Time,5,NFR!,0,0,0,1,0,0
"Me, me and Louie, we gonna run to the party",Doin Time,5,NFR!,0,0,0,0,1,0
"And dance to the rhythm, it gets harder",Doin Time,5,NFR!,0,0,0,0,0,1
"(Harder, yeah, harder, yeah)",Doin Time,5,NFR!,0,0,1,0,0,0
"Evil, I've come to tell you that she's evil, most definitely",Doin Time,5,NFR!,0,0,1,0,0,0
"Evil, ornery, scandalous and evil, most definitely",Doin Time,5,NFR!,0,0,1,0,0,0
"The tension, it's getting hotter",Doin Time,5,NFR!,0,1,0,0,0,0
I'd like to hold her head underwater,Doin Time,5,NFR!,0,1,0,0,0,0
(Summertime),Doin Time,5,NFR!,0,0,0,0,0,0
"(Ah, ah, ah)",Doin Time,5,NFR!,0,0,0,0,0,0
"Summertime, and the livin's easy",Doin Time,5,NFR!,0,0,0,1,0,0
Bradley's on the microphone with Ras MG,Doin Time,5,NFR!,0,0,0,0,0,0
All the people in the dance will agree,Doin Time,5,NFR!,0,0,0,1,0,0
That we're well-qualified to represent the L.B.C,Doin Time,5,NFR!,0,0,0,1,0,0
"Me, me and Louie, we gonna run to the party",Doin Time,5,NFR!,0,0,0,0,1,0
"And dance to the rhythm, it gets harder",Doin Time,5,NFR!,0,0,0,0,0,1
"In the car, in the car, in the backseat, I'm your baby",Love Song,6,NFR!,0,0,0,0,0,1
"We go fast, we go so fast, we don't move",Love Song,6,NFR!,0,0,0,0,0,1
I believe in a place you take me,Love Song,6,NFR!,0,0,0,1,0,0
Make you real proud of your baby,Love Song,6,NFR!,0,0,0,0,0,1
"In your car, I'm a star and I'm burnin' through you",Love Song,6,NFR!,0,0,0,0,0,1
"In your car, I'm a star and I'm burnin' through you",Love Song,6,NFR!,0,0,0,0,0,1
"Oh, be my once in a lifetime",Love Song,6,NFR!,0,0,0,1,0,0
"Lying on your chest, in my party dress",Love Song,6,NFR!,0,0,0,1,0,0
I'm a fucking mess but I,Love Song,6,NFR!,1,0,0,0,0,0
"Oh, thanks for the high life",Love Song,6,NFR!,0,0,0,0,0,1
"Baby, it's the best, that's a test",Love Song,6,NFR!,0,0,0,1,0,0
"And yes, now I'm here with you and I",Love Song,6,NFR!,0,0,0,0,0,1
Would like to think that you would stick around,Love Song,6,NFR!,0,0,0,1,0,0
You know that I'd just die to make you proud,Love Song,6,NFR!,0,0,1,0,0,1
"The taste, the touch, the way we love",Love Song,6,NFR!,0,0,0,0,0,1
It all comes down to make the sound of our love song,Love Song,6,NFR!,0,0,0,0,0,1
"Dream a dream, here's a scene",Love Song,6,NFR!,0,0,0,1,0,0
Touch me anywhere 'cause I'm your baby,Love Song,6,NFR!,0,0,0,0,0,1
"Grab my waist, don't waste any part",Love Song,6,NFR!,0,0,0,0,1,0
I believe that you see me for who I am,Love Song,6,NFR!,0,0,0,1,0,0
So spill my clothes on the floor of your new car,Love Song,6,NFR!,0,0,0,0,0,0
"Is it safe, is it safe to just be who we are?",Love Song,6,NFR!,0,0,1,0,0,0
"Is it safe, is it safe to just be who we are?",Love Song,6,NFR!,0,0,1,0,0,0
"Oh, be my once in a lifetime",Love Song,6,NFR!,0,0,0,1,0,0
"Lying on your chest, in my party dress",Love Song,6,NFR!,0,0,0,1,0,0
I'm a fucking mess but I,Love Song,6,NFR!,1,0,0,0,0,0
"Oh, thanks for the high life",Love Song,6,NFR!,0,0,0,0,0,1
"Baby, it's the best, pass the test",Love Song,6,NFR!,0,0,0,1,0,0
"And yes, now I'm here with you and I",Love Song,6,NFR!,0,0,0,0,0,1
Would like to think that you would stick around,Love Song,6,NFR!,0,0,0,1,0,0
You know that I'd just die to make you proud,Love Song,6,NFR!,0,0,1,0,0,1
"The taste, the touch, the way we love",Love Song,6,NFR!,0,0,0,0,0,1
It all comes down to make the sound of our love song,Love Song,6,NFR!,0,0,0,0,0,1
"The taste, the touch, the way we love",Love Song,6,NFR!,0,0,0,0,0,1
It all comes down to make the sound of our love song,Love Song,6,NFR!,0,0,0,0,0,1
Cinnamon in my teeth,Cinnamon Girl,7,NFR!,0,0,0,0,0,0
From your kiss,Cinnamon Girl,7,NFR!,0,0,0,0,0,1
You're touching me,Cinnamon Girl,7,NFR!,0,0,0,0,0,1
All the pills that you did,Cinnamon Girl,7,NFR!,1,0,0,0,0,0
"Violet, blue, green, red to keep me",Cinnamon Girl,7,NFR!,1,0,0,0,0,0
At arm's length don't work,Cinnamon Girl,7,NFR!,1,0,0,0,0,0
You try to push me out,Cinnamon Girl,7,NFR!,0,0,1,0,0,0
But I just find my way back in,Cinnamon Girl,7,NFR!,0,0,0,0,1,0
"Violet, blue, green, red to keep me out",Cinnamon Girl,7,NFR!,1,0,0,0,0,0
I win,Cinnamon Girl,7,NFR!,0,0,0,0,0,1
There's things I wanna say to you,Cinnamon Girl,7,NFR!,0,0,0,0,0,1
But I'll just let you live,Cinnamon Girl,7,NFR!,0,0,0,1,0,0
Like if you hold me without hurting me,Cinnamon Girl,7,NFR!,1,0,0,0,0,0
You'll be the first who ever did,Cinnamon Girl,7,NFR!,0,0,0,0,1,0
There's things I wanna talk about,Cinnamon Girl,7,NFR!,0,0,0,0,0,1
But better not to keep,Cinnamon Girl,7,NFR!,1,0,0,0,0,0
But if you hold me without hurting me,Cinnamon Girl,7,NFR!,1,0,0,0,0,0
You'll be the first who ever did,Cinnamon Girl,7,NFR!,0,0,0,0,0,1
"Ah, ah, ah, ah, ah, ah",Cinnamon Girl,7,NFR!,0,0,0,0,0,0
"Hold me, love me, touch me, honey",Cinnamon Girl,7,NFR!,0,0,0,1,0,1
Be the first who ever did,Cinnamon Girl,7,NFR!,0,0,0,0,0,1
"Ah, ah, ah, ah, ah, ah",Cinnamon Girl,7,NFR!,0,0,0,0,0,0
"Hold me, love me, touch me, honey",Cinnamon Girl,7,NFR!,0,0,0,0,0,1
Be the first who ever did,Cinnamon Girl,7,NFR!,0,0,0,0,0,1
Kerosene in my hands,Cinnamon Girl,7,NFR!,0,0,1,0,0,0
"You make me mad, I'm fire again",Cinnamon Girl,7,NFR!,0,1,0,0,0,0
All the pills that you take,Cinnamon Girl,7,NFR!,1,0,0,0,0,0
"Violet, blue, green, red to keep me at arm's length don't work",Cinnamon Girl,7,NFR!,1,0,0,0,0,0
"There's things I wanna say to you, but I'll just let you leave",Cinnamon Girl,7,NFR!,1,0,0,0,0,1
Like if you hold me without hurting me,Cinnamon Girl,7,NFR!,1,0,0,0,0,0
You'll be the first who ever did,Cinnamon Girl,7,NFR!,0,0,0,0,0,1
"There's things I wanna talk about, but better not to keep",Cinnamon Girl,7,NFR!,1,0,0,0,0,1
But if you hold me without hurting me,Cinnamon Girl,7,NFR!,1,0,0,0,0,0
You'll be the first who ever did,Cinnamon Girl,7,NFR!,0,0,0,0,0,1
"Ah, ah, ah, ah, ah, ah",Cinnamon Girl,7,NFR!,0,0,0,0,0,0
"Hold me, love me, touch me, honey",Cinnamon Girl,7,NFR!,0,0,0,0,0,1
Be the first who ever did,Cinnamon Girl,7,NFR!,0,0,0,0,0,1
"Ah, ah, ah, ah, ah, ah",Cinnamon Girl,7,NFR!,0,0,0,0,0,0
"Hold me, love me, touch me, honey",Cinnamon Girl,7,NFR!,0,0,0,0,0,1
Be the first who ever did,Cinnamon Girl,7,NFR!,0,0,0,0,0,1
"There's things I wanna say to you, but I'll just let you leave",Cinnamon Girl,7,NFR!,1,0,0,0,0,1
Like if you hold me without hurting me,Cinnamon Girl,7,NFR!,1,0,0,0,0,0
You'll be the first who ever did,Cinnamon Girl,7,NFR!,0,0,0,0,0,1
"There's things I wanna talk about, but better not to keep",Cinnamon Girl,7,NFR!,1,0,0,0,0,1
Like if you hold me without hurting me,Cinnamon Girl,7,NFR!,1,0,0,0,0,0
You'll be the first who ever did,Cinnamon Girl,7,NFR!,0,0,0,0,0,1
John met me down on the boulevard,How to Disappear,8,NFR!,0,0,0,0,0,0
Cried on his shoulder 'cause life is hard,How to Disappear,8,NFR!,1,0,0,0,0,0
The waves came in over my head,How to Disappear,8,NFR!,0,0,1,0,0,0
